Default 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
1.7054366399819934,8.21109124942844,3.367213850241196,2.7168261856456297,1.905527847923679,-1.45698450554932
1.7017217713886552,-8.435110687637692,3.5553742055976407,2.911704807332585,2.019064485379591,-1.6111987823561869
1.7939600650603253,8.40225269672029,3.7341865650866346,3.106689483570271,2.2218434986438425,-1.7577582200606905
1.7884914538907566,-8.624316519100468,3.9081144800206182,3.294651798446081,2.4368125096752955,-1.9447420673314681
1.8892187702343968,8.592022648133758,4.074127472643099,3.487747604873208,2.643688918262484,-2.139005525938394
1.882539200286594,-8.819039980938125,4.244097465341547,3.681307193710392,2.8443496792773395,-2.3259298056005875
1.9803906938932982,8.783178722854649,4.396767159024105,3.8715098812938322,3.0363401594065635,-2.515950476992142
1.9838569599767482,-9.021027158712343,4.55483584814748,4.060087121954405,3.2253573343612416,-2.7054947804253366
2.088749185806474,8.976784689932838,4.7035528965874,4.257031604626512,3.411735385101011,-2.89717822671156
2.085180516098486,-9.221757154882152,4.850525090312853,4.452690968325227,3.5887668167496756,-3.088457010953153
2.1977329194725073,9.170223032797107,4.99016718106996,4.642581265328179,3.763176290538489,-3.2781517463731937
2.193828588072563,-9.417929867736,5.122500358036383,4.831298192833685,3.9375542059776016,-3.474691137194995
2.3086433869949516,9.359135521885522,5.254838043338477,5.020992928253731,4.109711178054702,-3.6708266508347016
2.309788616963907,-9.61226919075009,5.381163465228262,5.211205326687352,4.2717106114809695,-3.8661254237095974
2.4136785914702585,9.541007793989275,5.512253490732949,5.409834542267669,4.431475371613864,-4.0639981889603085
2.43310080209892,-9.79605633668648,5.637312280246036,5.604866479221224,4.589502373269731,-4.261616978129325
2.537742278592251,9.731419588546645,5.755059300689183,5.798105768331462,4.735286762914232,-4.450620631263906
2.56367873371056,-9.98803262390711,5.871840748339881,5.993129556885728,4.868194871319194,-4.637433406514788
2.6758809264058705,9.928713778460367,5.976924642840441,6.185562154466475,5.011074469106269,-4.829186684912806
2.700059367893111,-10.1720320570881,6.086406998431741,6.381542797908539,5.142799890786726,-5.022398097920217
2.8098068113620798,10.129387409762924,6.1895660912197386,6.57892030979994,5.273376319619807,-5.214700321112357
2.83951884732744,-10.355232089412631,6.2854097653327266,6.773713615060066,5.403930206774536,-5.411891583877182
2.947521438341756,10.318087182743614,6.3739399529145615,6.966341774223718,5.5271967450108725,-5.605579034948246
2.984711150129769,-10.545611290372861,6.523316892887209,11.960495697717919,5.6431939676715075,-5.791851442667415
3.1037082193462417,10.511384368375108,6.472241958064444,7.166303492746393,5.759167521569864,-5.983257341937897
3.12182536403661,-10.717630709784846,6.554659406017645,7.353187030412146,5.875105572324809,-6.182363478535354
3.2579363334257962,10.696723413994036,6.680933635996968,11.7719565534696,5.983775380917308,-6.373821760372685
3.4097145086084595,10.878714208269248,6.637828055402114,7.570993743375109,6.080225640860771,-6.575483002175389
3.3115439965823334,-10.941395340580005,6.710562886428772,7.788748073771221,6.153033521896596,-6.7637024484612205
3.451130870961599,-11.140635343737188,6.774193288385998,7.994506796358649,6.255190035405224,-6.950515223712106
